License Type Name,County Name (Licensee),Premises Name,Doing Business As (DBA),Actual Address of Premises (Address1),Additional Address Information (Address2),City,State,Zip,Latitude,Longitude
MICRO BREWER,TOMPKINS,LIQUID STATE BREWING COMPANY INC,,620 W GREEN ST,,ITHACA,NY,14850,42.43872,-76.50768
MICRO BREWER,TOMPKINS,GARRETTS BREWING COMPANY INC,,1 W MAIN ST,,TRUMANSBURG,NY,14886,0,0
MICRO BREWER,TOMPKINS,HOPSHIRE BREWERY LLC,HOPSHIRE FARM & BREWERY,1771 DRYDEN RD,,FREEVILLE,NY,13068,42.48171378,-76.3692873
WINERY,TOMPKINS,PORTS OF NEW YORK LLC,,815 TABER ST,,ITHACA,NY,14850,42.43845773,-76.5135085
"DISTILLER ""C""",YATES,ROCK STREAM VINEYARDS LLC,,162 FIR TREE POINT ROAD,,ROCK STREAM,NY,14878,42.47140503,-76.91916722
FARM BREWER,YATES,SENECA LAKE BREWING COMPANY LLC,,4520 STATE RTE 14,,ROCK STREAM,NY,14878,42.45345,-76.91001
FARM BREWER,YATES,CLIMBING BINES CRAFT ALE COMPANY LLC,,511 HANSEN POINT RD,NORTH BUILDING,PENN YAN,NY,14527,42.66011742,-76.93623052
FARM BREWER,YATES,VINEYARD VIEW WINERY LLC,,2971 WILLIAMS HILL RD,,KEUKA PARK,NY,14478,42.62358,-77.10254
FARM BREWER,YATES,ABANDON BREWING COMPANY LLC,ABANDON BREWING COMPANY,2994 MERRITT HILL RD,,PENN YAN,NY,14527,42.63080458,-77.10105951
FARM BREWER,YATES,LYONSMITH BREWING CO LLC,LYONSMITH BREWING CO,138 WATER ST,,PENN YAN,NY,14527,42.65943849,-77.05421666
"FARM DISTILLER ""D""",YATES,JESSE F JAYNE & JESSE R JAYNE,BARRINGTON DISTILLERS,5040 BILL BAILEY RD,,DUNDEE,NY,14837,42.52048,-77.04601
"FARM DISTILLER ""D""",YATES,ANTLER RUN DISTILLING LLC,,3133 ANTLER RUN RD,,KEUKA PARK,NY,14478,0,0
FARM WINERY,YATES,PREJEAN WINERY INC,PREJEAN,561 LEACH RD,AKA 2634 ROUTE 14,PENN YAN,NY,14527,42.63854422,-76.94405214
FARM WINERY,YATES,"COOL CLIMATE WINE GROUP LLC, THE",,491 STATE RTE 54,,PENN YAN,NY,14527,42.59224,-77.07731
FARM WINERY,YATES,CK CELLARS LLC,TORREY RIDGE WINERY EARLE ESTATES MEADERY,2770 RTE 14,,PENN YAN,NY,14527,42.62882,-76.94871
FARM WINERY,YATES,GLENORA WINE CELLARS INC,,5435 RTE 14,,DUNDEE,NY,14837,0,0
FARM WINERY,YATES,STEVER HILL VINEYARDS LLC,,4019 STEVER HILL RD,,BRANCHPORT,NY,14418,0,0
FARM WINERY,YATES,PATRIOT WINES INC,PATRIOT WINES,2324 CORTLANDT RD,,MILO,NY,14527,42.6312,-77.06335
FARM WINERY,YATES,FOX RUN VINEYARDS INC,FOX RUN,670 ROUTE 14,,PENN YAN,NY,14527,42.73237559,-76.97180406
FARM WINERY,YATES,RED TAIL RIDGE INC,RED TAIL RIDGE WINERY,846 ST RTE 14,,PENN YAN,NY,14527,42.722829,-76.97295618
FARM WINERY,YATES,POINT OF THE BLUFF VINEYARD LLC,,8524 BROADVIEW HEIGHTS,,KEUKA PARK,NY,14478,0,0
FARM WINERY,YATES,JOHANNES J REINHARDT,KEMMETER WINES,1020 ANTHONY RD,LOCATION A,PENN YAN,NY,14527,42.70578839,-76.9752953
FARM WINERY,YATES,VINEYARD VIEW WINERY LLC,VINEYARD VIEW WINERY,2971 WILLIAMS HILL RD,,KEUKA PARK,NY,14478,42.62327888,-77.10082872
FARM WINERY,YATES,MONELLO LLC,,701 STATE ROUTE 14,,PENN YAN,NY,14527,42.73109527,-76.9714795
FARM WINERY,YATES,TODD W EICHAS & DANI A EICHAS,NEW VINES BED & BREAKFAST,1138 TRAVIS RD,,PENN YAN,NY,14527,42.71526846,-76.98578154
FARM WINERY,YATES,BLACK WALNUT VINEYARDS LLC,SERENITY VINEYARDS,930 DAVY ROAD,,PENN YAN,NY,14527,42.71573492,-76.97171802
FARM WINERY,YATES,SDMD ENTERPRISES LLC,MAGNUS RIDGE WINERY,5900 STATE ROUTE 14,,ROCK STREAM,NY,14878,42.47821395,-76.92393943
FARM WINERY,YATES,FROST WINES LLC,HERMANN J WIEMER VINEYARD,3962 ROUTE 14,,DUNDEE,NY,14837,42.5738196,-76.92803737
FARM WINERY,YATES,EAST BRANCH WINERY INC,MCGREGOR VINEYARD,5503 DUTCH STREET,,DUNDEE,NY,14837,42.49916597,-77.10200053
FARM WINERY,YATES,ANTHONY ROAD WINE CO INC,,1020 ANTHONY RD,,PENN YANN,NY,14527,42.70573357,-76.97529167
FARM WINERY,YATES,ROCK STREAM VINEYARDS LLC,ROCK STREAM VINEYARDS,378 ALLEN ROAD,,ROCK STREAM,NY,14878,42.48056616,-76.93888696
FARM WINERY,YATES,TRADEWINDS WINE COMPANY LLC,TRESTLE 31,670 RTE 14,,PENN YAN,NY,14527,42.73151,-76.97229
FARM WINERY,YATES,TABORA FARM & WINERY LLC,,4978 LAKEMONT HIMROD RD,,DUNDEE,NY,14837,42.52349,-76.92976
FARM WINERY,YATES,KENNETH F & EILEEN M FARNAN,BC FARM WNRY & BARRINGTON CELLARS,2690 GRAY ROAD,VINEYARD & BARRINGTON CELLARS,PENN YAN,NY,145279554,42.54938387,-77.08509204
FARM WINERY,YATES,VILLA BELL'ANGELO LLC,VILLA BELLANGELO,150 POPLAR POINT RD,,DUNDEE,NY,14837,42.5652668,-76.9178728
FARM WINERY,YATES,STEVEN D SHAW,SHAW VINEYARD,3901 STATE ROUTE 14 UNIT 2,,HIMROD,NY,14842,42.57644198,-76.92979025
FARM WINERY,YATES,KEUKA SPRING VINEYARDS LLC,KEUKA SPRING VINEYARDS,243 ROUTE 54 EAST LAKE RD,,PENN YAN,NY,14527,42.629201,-77.07081518
FARM WINERY,YATES,SENECA SHORE WINERY INC,SENECA SHORE WINE CELLARS,929 DAVY RD,,PENN YAN,NY,14527,42.71562854,-76.97160492
FARM WINERY,YATES,MILES WINE CELLARS LLC,,168 RANDALL CROSSING ROAD,,HIMROD,NY,14842,42.61705161,-76.9223332
FARM WINERY,YATES,HUNT COUNTRY VINEYARDS LLC,HUNT COUNTRY VINEYARDS,4021 ITALY HILL RD,,BRANCHPORT,NY,14418,42.59852621,-77.17255777
FARM WINERY,YATES,FULKERSON WINE CELLARS LLC,FULKERSON WINE CELLARS,5576 ROUTE 14,,DUNDEE,NY,14837,42.49321166,-76.92406072
FARM WINERY,YATES,ALAN D HUNT,YATES CELLARS,3170 ROUTE 54A,,BLUFF POINT,NY,14478,42.60578649,-77.11703082
WINERY,YATES,N KENDALL WINES LLC,"HICKORY HOLLOW WINE CELLARS, NATHAN K, CHEPIKA",20 HOLLISTER ST,UNIT 3,DUNDEE,NY,14837,42.52262,-76.97381
WINERY,YATES,POINT OF THE BLUFF VINEYARD LLC,,8524 BROADVIEW HEIGHTS,,KEUKA PARK,NY,14478,42.62001197,-77.09868161
WINERY / FARM WINERY RETAIL,YATES,N KENDALL WINES LLC,"HICKORY HOLLOW WINE CELLARS, NATHAN K, CHEPIKA",5289 STATE RTE 14,,DUNDEE,NY,14837,42.50743,-76.9239
